DateTime,Load Demand (kWh),PV Production (kWh),Energy Exported to Grid (kWh),Energy Imported from Grid (kWh),Hydrogen Production (kg),Fuel Cell Output (kWh),Ambient Temperature (°C),Electrolyser Power (kW),Electrolyser Efficiency (%),PV Efficiency (%),Fuel Cell Electrical Efficiency (%),Converter Efficiency (%),Solar Irradiance (W/m^2),Hydrogen Supply to Fuel Cell (kg),Hydrogen Consumption Rate (kg/kWh),Hydrogen Discharge to Storage (kg),Hydrogen Flow from Tank to FC (kg),Building Load Demand (kWh),E_PV2EZ (kWh),E_NT2FC (kWh),LCOH ($/kg),LCOS ($/kWh),Electrolyzer Losses (kWh),Converter Losses (kWh),Storage Losses (kg),Balance of Plant (BoP) (kWh),Month
2023-01-01 0:00,16973.87,3.37,69.98,179.06,41.24,30.37,22.31,174.53,60.39,14.28,41.14,95.67,2.58,2.13,0.07,39.11,2.13,6789.55,2.4907,30.37,3.9459,0.1599,0.1654,876.9692,1.9684,352.3753,January
2023-01-01 1:00,18190.59,4.62,28.67,170.17,44.98,21.07,20.98,225.43,64.21,14.02,40.78,94.29,6.69,1.47,0.07,43.51,1.47,7276.24,3.6504,21.07,2.9036,0.2764,0.3224,1674.6721,0.9961,861.2575,January
2023-01-01 2:00,15327.76,8.78,46.42,140.63,28.83,38.02,19.75,144.96,63.72,14.47,41.0,94.08,6.04,2.66,0.07,26.17,2.66,6131.1,5.625,38.02,4.0038,0.2736,0.3794,1336.718,0.5802,318.8462,January
2023-01-01 3:00,15574.0,5.27,87.71,148.53,23.03,31.78,19.68,295.94,60.34,13.98,42.22,94.51,4.77,2.22,0.07,20.81,2.22,6229.6,4.0872,31.78,4.4994,0.2189,0.3626,966.7233,0.6446,467.6754,January
2023-01-01 4:00,17602.07,5.31,73.26,75.52,42.69,28.94,21.23,206.54,63.75,13.18,40.95,94.49,4.12,2.03,0.07,40.66,2.03,7040.83,3.1865,28.94,4.3028,0.2149,0.2821,1356.8466,2.0988,653.511,January
2023-01-01 5:00,16833.93,4.65,56.7,65.55,45.84,37.06,18.15,213.91,64.12,13.12,42.81,95.3,7.3,2.59,0.07,43.25,2.59,6733.57,3.2586,37.06,2.6449,0.1663,0.2945,1218.8081,1.8708,747.4097,January
2023-01-01 6:00,18340.44,5.04,98.45,117.14,45.81,28.71,21.79,128.72,62.77,14.88,44.08,94.71,2.14,2.01,0.07,43.8,2.01,7336.18,3.702,28.71,2.9947,0.1094,0.2896,1481.1011,1.7282,774.4843,January
2023-01-01 7:00,19691.02,1465.62,23.7,13.41,42.8,11.74,31.03,1090.34,60.81,14.22,43.9,94.36,834.08,0.82,0.07,41.98,0.82,7876.41,1096.5851,11.74,4.078,0.241,79.5767,1151.5909,1.35,594.9429,January
2023-01-01 8:00,18544.9,1468.82,23.64,126.3,45.23,38.11,27.84,719.17,63.56,14.87,44.71,95.32,998.88,2.67,0.07,42.56,2.67,7417.96,1122.6109,38.11,4.1362,0.2439,56.298,1766.7936,2.0191,666.3618,January
2023-01-01 9:00,18992.43,1406.37,87.99,159.58,26.59,38.02,24.54,1423.12,61.73,14.99,40.63,95.07,448.82,2.66,0.07,23.93,2.66,7596.97,1111.9963,38.02,4.4611,0.1167,105.1072,1649.8389,1.1841,948.926,January
2023-01-01 10:00,17925.04,938.22,30.32,192.38,46.58,21.18,43.85,1141.08,64.73,14.12,41.18,95.57,959.61,1.48,0.07,45.1,1.48,7170.02,676.4771,21.18,3.6814,0.2926,64.3531,1775.8103,2.3113,528.9759,January
2023-01-01 11:00,19994.3,751.55,60.05,60.8,25.83,36.04,23.72,933.18,64.42,13.24,40.27,94.19,822.95,2.52,0.07,23.31,2.52,7997.72,568.1428,36.04,3.614,0.1404,47.4753,1259.7365,1.0255,588.5785,January
